Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
0.8605714864149977,0.8064872320596351,0.008230906829504114,1.4795420279618496,14,2.494026857704991,14,-0.05694133988813923,0.013088224446081646,-0.983538186341021,46293
3.0422577969643094,1.633322675622405,0.004276589368691908,2.585531884188224,8,5.539805602992385,33,0.03564008993367744,-0.019296372326599108,-0.9914468212626287,64278
2.1303764558393743,0.6860636691372177,0.0010626773850103133,2.9034937293590946,11,6.219168363259648,14,-0.0058185064532427395,0.0019557348887902165,-0.9978746452299665,33486
0.9305411799642962,0.7248812344529897,0.001368087335973489,0.47953125,13,1.480256508999752,10,-0.008270550092262414,-0.00330091984275044,-0.9972638253280558,30691
1.8338358578997025,1.1960249994130816,0.0045654251213079755,3.8860716445463748,14,7.328218078117347,42,-0.06015064862846656,-0.016011606451885915,-0.9908691497573988,49495
3.224013898414007,1.5767047717950817,0.016900589962518864,0.35791407623923,7,0.378,10,-0.051492615869658004,-0.0002759281401017461,-0.966198820074969,26726
1.687790599870834,0.5286103168483687,0.002418616435667209,3.9638945058402526,14,7.497096326161503,61,-0.017579904484980154,-0.00214249723308235,-0.9951627671286695,51414
3.7053938081926088,1.6602774145699606,0.016472550513150885,0.34284375,7,1.0332498033873103,19,0.0457409703996083,-0.0050255813548518765,-0.9670548989736778,36740
3.3855714019499534,1.6847330255671473,0.016646967134604562,3.2008191279888085,11,5.315027285956987,5,-0.024231370260374807,-0.0007497982142482193,-0.9667060657307938,43609
0.4370506205434987,0.8233379167627609,0.0016221023434404014,2.6613332261807514,20,3.745789601274614,42,0.02732361816371779,-0.017461343438129134,-0.9967557953131077,42059
1.6292235388533607,0.32376222189635556,0.025422897923147225,4.00534336847237,17,6.681792902913414,51,-0.022609283338453495,-0.0018309960847724626,-0.9491542041537214,59683
4.538245188395658,1.739763479171879,0.003698693300107081,0.3067359247859373,10,0.9450000000000001,28,0.008416387905245865,0.020758035018860026,-0.9926026133997973,33630
3.928598012761852,0.6989145556891246,0.01527510368302809,1.6812427717839789,14,4.36591534310669,24,-0.030321264307529048,0.005588986203422601,-0.9694497926339666,55237
