0,1,2,3,4,5,6,7,8
(0.00042961155176251257+5.921495604183812e-17j),0j,(-0.005338679141811514-0.012991075287865906j),(0.0001099828721703406+6.44841737981524e-05j),0j,(3.937854101703481e-05-0.004163396758802474j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j
(-0.005338679141811823+0.012991075287865845j),0j,(0.4995703884482524-1.1349075763018614e-16j),(-3.937854101718985e-05-0.004163396758802414j),0j,(0.00010998287217062295-6.448417379810258e-05j),0j,0j,0j
(0.00010998287217036413-6.448417379816709e-05j),0j,(-3.9378541017190345e-05+0.004163396758802494j),(0.0014111729789816746+8.737771190016122e-17j),0j,(-0.0020070723614407553-0.026119246987014445j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j
(3.937854101711468e-05+0.0041633967588024815j),0j,(0.00010998287217049181+6.448417379812397e-05j),(-0.0020070723614406586+0.026119246987014667j),0j,(0.4985888270210328-2.2165118835058436e-16j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j
